shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
21-U1-j22-24.1.H,48.1421948117038,16.400228991745,1,0.00
21-U1-j22-24.1.H,48.1423556989004,16.3995565129232,2,53.01
21-U1-j22-24.1.H,48.1444950190913,16.3909465202498,3,734.69
21-U1-j22-24.1.H,48.1453374755762,16.3878258627839,4,984.46
21-U1-j22-24.1.H,48.1456993889577,16.3863675377515,5,1099.90
21-U1-j22-24.1.H,48.1459858969134,16.3852132026112,6,1191.28
21-U1-j22-24.1.H,48.1461690094238,16.3844066053175,7,1254.49
21-U1-j22-24.1.H,48.1462776778487,16.3839487340171,8,1290.55
21-U1-j22-24.1.H,48.1463711217211,16.3836900192152,9,1312.38
21-U1-j22-24.1.H,48.1464701996117,16.3834966119345,10,1330.47
21-U1-j22-24.1.H,48.1467396809165,16.3832034018258,11,1367.50
21-U1-j22-24.1.H,48.1471323922418,16.3829687618735,12,1414.50
21-U1-j22-24.1.H,48.1475382866869,16.3827613408744,13,1462.19
21-U1-j22-24.1.H,48.1477050309348,16.3826973808261,14,1481.33
21-U1-j22-24.1.H,48.1480690853289,16.3826124002002,15,1522.30
21-U1-j22-24.1.H,48.1482451778843,16.3825947932207,16,1541.92
21-U1-j22-24.1.H,48.1484260047707,16.382587876193,17,1562.03
21-U1-j22-24.1.H,48.148645909065,16.3825862592255,18,1586.49
21-U1-j22-24.1.H,48.151206534999,16.3825193347368,19,1871.26
21-U1-j22-24.1.H,48.1529670859885,16.3824053385272,20,2067.21
21-U1-j22-24.1.H,48.1534924347844,16.3823623092251,21,2125.71
21-U1-j22-24.1.H,48.1553770778319,16.3822071701755,22,2335.59
21-U1-j22-24.1.H,48.1557465911164,16.3822405875041,23,2376.75
21-U1-j22-24.1.H,48.1560836812741,16.3822862219205,24,2414.39
21-U1-j22-24.1.H,48.1565267791722,16.3824084826307,25,2464.48
21-U1-j22-24.1.H,48.1577163049141,16.3828789303451,26,2601.28
21-U1-j22-24.1.H,48.1600098843734,16.3836350423198,27,2862.41
21-U1-j22-24.1.H,48.160302005029,16.3837124770973,28,2895.39
21-U1-j22-24.1.H,48.160915902401,16.3837699692755,29,2963.79
21-U1-j22-24.1.H,48.1612062202686,16.3837488588664,30,2996.11
21-U1-j22-24.1.H,48.1614203773288,16.3837205619349,31,3020.01
21-U1-j22-24.1.H,48.1616725829722,16.3836567815497,32,3048.45
21-U1-j22-24.1.H,48.1618423971449,16.3835868027891,33,3068.04
21-U1-j22-24.1.H,48.1619733226494,16.383532903872,34,3083.13
21-U1-j22-24.1.H,48.1676693071557,16.3808726329893,35,3746.52
21-U1-j22-24.1.H,48.1685570364551,16.3805022575976,36,3848.98
21-U1-j22-24.1.H,48.1730642857734,16.3786218142131,37,4369.20
21-U1-j22-24.1.H,48.1739580920103,16.3783089309996,38,4471.26
21-U1-j22-24.1.H,48.1748652414843,16.377945203141,39,4575.67
