route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
21-U1-j22-24,UZ,11210.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11214.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11219.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11222.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11228.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11232.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11238.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11241.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11242.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11243.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11247.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11250.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11251.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11252.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11253.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11256.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11259.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11260.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11261.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11264.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11267.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11268.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11269.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11272.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11275.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11276.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11277.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11281.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11283.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11284.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11285.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11290.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11292.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11293.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11294.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11298.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11300.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11301.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11302.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11306.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11307.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11309.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11310.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11311.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11315.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11317.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11318.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11319.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11324.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11326.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11327.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11328.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11331.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11333.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11334.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11335.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11339.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11340.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11341.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11345.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11347.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11348.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11349.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11353.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11355.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11358.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11359.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11360.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11363.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11365.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11366.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11367.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11371.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11372.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11373.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11377.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11379.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11380.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11381.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11385.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11387.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11388.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11391.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11392.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11395.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11397.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
